#name_urlized	about	tags
__node	Built by a seasoned developer with decades of experience, v7 is set to be even more effective and flexible.	#reasons #skills
as-a-long-term-ally	We believe in long term relationship and that the salient features of the platform are best appreciated as content grows over time.	#long-term
because	Compelling reasons - from a 2021 presentation.	#why #todo
for-these-skills	Are we on the same page skill-wise?	#skills
more-than-even-wordpress	A frank pros-n-cons comparison with Wordpress.	#cms #comparision
to-all	Who likes us best and our background (from 2023).	#why-us #todo
to-developers	Where power meets simplicity and elegance.	#developers #php #frameworks
